"school_id" "gender" "immigration" "language" "hisced" "grade_rep" "fear_failure" "belonging" "bullied" "home_poss" "cult_poss" "edu_resources" "family_wealth" "ESCS_status" "teacher_support" "emo_sup" "school_changes" "learn_time_math" "learn_time_read" "learn_time_scie" "math" "read" "scie" "class_size" "stud_teach_ratio" "short_edu_mat" "short_edu_staff" "stu_behav" "teach_behav" "teach_multicult"
"2976" 72400088 0 1 0 2 0 -1.8939 1.4685 -0.7823 -1.0253 -1.7521 -1.0118 -0.4338 -1.6161 -1.3684 0.3622 0 100 100 50 439.768 435.175 478.184 33 11 1.2478 1.3405 1.2033 1.745 0.9042
"2977" 72400089 0 3 3 5 0 0.4637 -0.3184 -0.7823 -1.0261 -0.3221 -0.4903 -1.076 -0.8934 1.314 0.5029 0 240 240 240 442.044 440.208 478.82 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2979" 72400089 0 1 0 6 1 -0.13 0.9423 -0.7823 -0.2908 -0.2617 1.1793 -0.2352 0.2676 1.314 1.0346 0 220 220 165 400.048 498.554 484.236 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2981" 72400089 1 1 0 5 1 -0.3498 0.4829 0.2907 0.9855 0.4239 1.1793 0.4165 0.0395 1.314 0.3622 0 220 220 330 462.002 556.019 545.895 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2982" 72400089 1 1 0 5 1 -0.3799 -0.1843 -0.7823 0.8385 0.7064 1.1793 0.4829 0.1459 -1.555 -1.5824 0 220 220 165 479.781 476.814 489.331 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2983" 72400089 1 3 0 6 1 -0.6133 -3.2367 0.8233 -0.4646 -1.2379 -0.4903 0.1692 0.8447 -1.8485 -0.6576 1 225 180 180 336.194 410.307 365.523 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2984" 72400089 0 1 0 6 0 -0.687 -0.2133 2.0604 -0.2572 0.7064 -1.0118 -0.396 -0.2773 -1.1481 -0.6576 1 240 240 240 476.625 381.579 475.618 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2985" 72400089 1 3 3 2 0 -0.13 -0.9052 -0.7823 -1.8132 -0.7075 -1.6291 -1.1371 -1.7944 -0.7857 -0.6576 2 220 220 220 438.674 394.275 409.18 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2987" 72400089 1 2 3 2 1 0.4637 -0.3184 0.2907 -0.712 -1.2379 1.1793 -0.5012 -1.4857 -1.1846 -1.0657 2 220 275 165 446.993 460.455 462.764 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2988" 72400089 1 1 0 6 0 -0.2006 0.6818 -0.7823 -0.3083 -1.2379 -0.1357 0.2784 0.5822 0.1597 1.0346 0 220 220 330 632.723 651.1 626.87 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2989" 72400089 1 1 0 3 0 -1.8939 -0.3184 -0.7823 0.4444 1.802 1.1793 -0.0896 -0.1195 1.314 -0.6576 0 240 240 360 609.261 497.878 652.453 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2990" 72400089 0 1 0 5 0 -0.2006 1.4326 -0.7823 0.2128 -0.1783 0.0477 0.217 -0.3231 -0.3673 -0.6576 0 220 220 165 493.33 414.53 437.86 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2991" 72400089 1 1 0 2 0 0.8207 0.6678 -0.7823 -0.3003 -0.263 0.031 -0.1814 -0.8114 -0.4377 -0.6576 0 220 220 165 498.711 491.165 466.734 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2993" 72400089 1 3 0 4 1 -0.3799 2.7249 -0.7823 -1.5526 -0.9597 -1.0118 -1.4153 -1.6231 -0.2441 0.5029 2 220 220 220 342.252 372.286 422.182 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2994" 72400089 0 1 0 6 0 -1.8939 1.4685 -0.7823 0.2039 0.1758 -1.0118 0.4386 0.9834 1.314 -0.6576 0 200 200 0 511.446 489.337 447.584 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2995" 72400089 0 1 0 6 0 1.3423 0.0914 0.2907 -0.9459 -0.2839 -1.3525 -0.7953 0.2912 0.4394 -1.7671 1 200 200 150 507.854 463.715 646.993 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"2996" 72400089 1 1 0 5 1 0.9109 0.9517 -0.7823 0.001 -0.5491 -0.6853 0.7431 -0.2154 -0.8154 1.0346 0 220 220 165 480.534 381.155 460.353 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3000" 72400089 1 1 0 5 0 -0.13 0.9423 -0.7823 0.0347 -0.1838 1.1793 -0.0695 -0.0881 0.385 -0.67 0 200 200 150 519.918 590.659 595.487 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3001" 72400089 1 1 0 6 0 -0.3498 0.3018 -0.7823 0.4449 0.4239 -0.1357 0.2186 0.064 -0.6661 0.2169 0 220 220 165 608.268 584.681 615.607 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3002" 72400089 0 1 0 6 0 0.8207 2.7249 -0.7823 0.7089 0.7064 1.1793 0.0544 1.0906 1.314 1.0346 0 220 220 165 684.47 661.761 643.916 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3003" 72400089 0 1 0 5 1 -0.4342 0.6818 -0.7823 0.318 -0.0851 1.1793 0.212 0.5399 1.314 1.0346 0 220 220 165 491.985 433.717 457.266 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3004" 72400089 0 1 0 6 0 -1.8939 2.7249 -0.7823 -0.3864 -0.7075 1.1793 -0.3685 -0.305 0.7015 1.0346 1 200 200 150 481.663 467.135 437.817 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3005" 72400089 1 3 0 4 1 1.4083 -0.9879 -0.7823 -2.4341 -0.2825 -1.6618 -2.3634 -2.0079 1.314 -2.4468 2 220 220 330 437.876 453.905 496.438 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3007" 72400089 1 1 0 5 0 -0.5311 1.4326 0.2907 -0.7619 -0.7075 -0.6853 -0.4667 -0.4252 1.314 -1.3914 0 220 220 330 544.651 524.42 539.282 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3008" 72400089 1 1 0 6 1 -0.687 -0.3935 -0.7823 -0.6882 -1.2379 -0.4903 -0.1599 -0.3477 -0.8266 1.0346 1 275 275 0 430.599 366.421 395.728 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3009" 72400089 0 1 0 5 0 0.052 -0.2932 0.2907 -0.1621 -0.9597 -1.0118 0.5823 0.3078 1.314 1.0346 0 200 200 150 477.425 519.62 530.12 28 12.8182 1.2521 2.1075 0.7745 1.3115 0.9042
"3011" 72400090 0 1 0 3 1 -1.109 0.6818 3.8591 -0.5005 -0.7075 -1.0118 -0.0263 -0.8284 -0.7769 1.0346 1 200 200 100 459.648 519.978 533.115 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3012" 72400090 0 1 0 6 0 -0.1558 0.1935 -0.7823 -0.039 -0.0649 1.1793 -0.3295 0.3742 0.1694 -0.6576 0 180 180 180 435.827 455.757 510.621 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3013" 72400090 0 1 3 6 0 1.4083 -0.6538 0.2907 0.0437 0.4541 -0.5492 -0.5067 0.9972 0.1155 1.0346 0 200 200 200 562.751 682.268 557.068 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3015" 72400090 1 1 0 6 0 -0.13 -0.0358 0.2907 -0.2391 -0.7075 -0.6853 0.2502 0.7075 -0.476 0.6402 0 200 200 200 584.04 537.572 504.338 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3016" 72400090 1 1 0 2 1 0.052 1.4685 -0.7823 -0.7141 -0.8795 -0.6122 -0.1018 -1.6247 0.7015 -0.6576 1 200 200 100 495.71 470.891 464.834 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3017" 72400090 1 1 0 4 0 -0.13 0.3241 -0.7823 1.6723 0.4541 1.1793 1.8361 -0.0962 -0.2023 -0.6576 0 200 200 200 537.877 522.598 478.821 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3019" 72400090 1 2 0 6 1 -0.4939 0.0348 -0.7823 -1.5405 -0.431 -1.0527 -1.2729 -0.926 0.7015 -0.6576 1 220 220 110 354.464 423.845 418.705 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3020" 72400090 0 1 0 5 0 0.8207 0.3241 0.2907 0.684 0.5143 0.0477 0.3225 0.4397 0.039 -0.6576 1 200 200 400 546.366 555.777 572.185 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3021" 72400090 1 1 0 5 0 0.052 1.4326 -0.7823 1.5589 1.0094 1.1793 0.9218 0.1863 1.314 1.0346 1 200 200 200 487.576 510.661 531.579 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3022" 72400090 0 1 0 6 0 -1.8939 1.4326 -0.7823 0.304 1.0094 -0.1357 -0.0728 1.0408 1.314 1.0346 0 220 220 165 659.782 669.495 631.939 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3023" 72400090 0 1 0 6 0 1.0671 1.4685 0.7703 0.1775 0.5143 0.0477 -0.6387 0.3984 -1.415 -0.6439 1 240 240 0 521.391 578.86 502.066 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3024" 72400090 1 1 0 6 0 0.052 -0.916 2.896 0.4725 -0.0851 0.0477 0.6691 0.7899 -2.7106 -1.8649 1 220 220 220 616.775 725.679 701.774 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3025" 72400090 0 1 0 6 0 1.1422 -0.6693 1.4721 -0.1204 1.0094 -1.0527 -0.3392 0.7389 -2.7106 1.0346 2 200 200 150 472.218 516.323 527.126 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3029" 72400090 0 1 0 6 0 -0.4342 -0.0358 -0.7823 0.9724 -0.2839 1.1793 1.3486 0.8495 -0.4377 0.5029 1 200 200 200 541.307 544.587 542.768 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3031" 72400090 0 1 0 5 0 1.1422 2.7249 -0.7823 0.4949 0.7064 1.1793 -0.295 0.5632 0.6259 1.0346 0 200 200 400 448.744 510.109 359.252 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3032" 72400090 1 2 3 6 1 0.4637 -0.3184 0.2907 -0.699 0.7064 -1.3311 -0.8778 0.5973 -0.2023 -1.5824 0 200 200 100 492.723 533.358 348.456 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3035" 72400090 1 1 0 5 0 -1.8939 2.7249 -0.7823 0.4562 0.5143 -0.1357 0.2695 -0.1845 -0.0014 0.5029 0 200 200 0 516.091 507.415 401.315 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3036" 72400090 0 1 0 6 0 0.4637 -0.6913 -0.7823 0.6231 1.802 -0.6853 0.282 0.2795 0.0405 -0.6576 1 200 200 200 457.705 544.806 435.855 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3037" 72400090 0 1 0 6 0 -1.8939 0.9303 1.8016 0.398 -0.1783 -1.0118 0.8281 -0.0267 -1.5447 1.0346 0 200 200 0 551.686 564.755 523.908 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3040" 72400090 0 1 0 3 0 0.4637 0.6246 -0.7823 -0.9991 -1.2379 -0.6853 -0.8412 -0.3726 -0.3971 -0.6576 1 220 220 440 596.287 546.673 628.111 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3041" 72400090 0 1 0 2 0 1.8905 -0.7659 -0.7823 -0.4844 0.2916 -0.4903 -1.1224 -0.796 -1.1481 -1.0657 0 180 180 180 603.255 636.469 568.843 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3042" 72400090 0 1 0 6 0 0.1097 0.0974 -0.7823 2.8525 1.802 1.1793 1.6654 1.8987 -0.6262 0.5029 0 200 200 200 694.971 730.78 635.247 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3043" 72400090 0 1 0 6 0 -0.9823 0.6818 -0.7823 0.6713 0.2964 1.1793 0.152 0.9478 1.314 1.0346 0 200 200 200 566.715 617.599 552.235 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3044" 72400090 0 3 0 2 0 -0.687 -0.338 -0.7823 -1.2251 -0.8795 -0.9177 -0.8118 -1.8403 0.1924 1.0346 0 200 200 0 416.038 486.045 448.766 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3045" 72400090 0 1 0 4 0 -0.2006 -0.1903 -0.7823 1.0589 0.6212 1.1793 0.7249 0.0746 -0.1719 1.0346 1 200 200 0 529.841 497.575 519.904 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3046" 72400090 0 1 0 5 1 -0.7592 0.6653 -0.7823 -0.3196 0.4541 -0.6853 -0.68 0.2026 0.1694 1.0346 2 220 220 110 415.928 558.486 514.681 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3047" 72400090 0 1 0 6 0 -0.687 1.4685 -0.7823 0.945 0.1802 1.1793 0.5497 1.3214 0.6259 1.0346 1 200 200 150 560.234 537.013 538.056 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3048" 72400090 0 2 3 0 0 1.3423 -0.9077 0.2907 -1.964 -1.7521 -1.0118 -1.7161 -3.0563 -0.4082 1.0346 0 200 200 200 509.46 553.416 504.024 28 15.6909 2.9595 1.5598 -0.0384 0.2266 0.9042
"3049" 72400091 0 1 0 6 0 0.052 -0.3184 -0.7823 0.1167 -1.2379 -0.6122 1.0986 0.6277 -1.3345 0.5029 0 220 165 165 468.781 510.945 518.035 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3051" 72400091 1 1 1 6 0 1.8905 0.1589 -0.7823 0.494 -0.0851 -0.1357 0.7894 -0.5225 -0.159 1.0346 0 220 165 165 612.522 508.606 511.053 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3055" 72400091 1 1 0 6 0 0.3335 -0.0879 -0.7823 1.2599 0.2964 -0.6853 1.8361 0.4847 -0.6262 0.0116 0 250 250 0 444.24 465.865 476.489 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3056" 72400091 1 1 0 6 1 1.0671 -0.1986 -0.7823 0.813 -0.5426 1.1793 2.1925 1.378 -0.0037 1.0346 0 450 450 250 392.086 315.521 319.909 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3058" 72400091 0 1 0 2 1 -1.4869 0.9423 -0.7823 -1.4236 -0.1635 -1.0527 -1.3968 -1.5175 1.314 0.2169 0 495 440 275 466.916 311.413 377.483 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3059" 72400091 1 1 0 4 0 -0.2006 2.7249 -0.7823 0.1243 0.0739 0.0477 -0.0769 -0.7015 -0.0348 1.0346 0 180 135 180 394.836 456.101 433.209 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3060" 72400091 1 1 0 6 1 -0.687 -0.6552 2.896 -1.2177 -0.383 -2.049 -0.6034 -0.5718 -0.4377 0.3622 2 225 180 180 265.965 273.13 372.474 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3064" 72400091 0 1 0 6 0 -0.1748 -0.6913 -0.7823 -0.0469 -0.383 -0.1357 0.1739 0.5701 -0.7857 1.0346 0 200 150 150 430.089 479.933 514.82 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3065" 72400091 0 1 0 6 0 -1.8939 2.7249 0.8233 3.423 1.802 -0.1357 4.149 2.2043 0.4394 1.0346 2 220 165 0 548.125 421.432 459.097 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3066" 72400091 0 1 0 5 0 -0.4342 0.0348 1.203 0.5364 0.1802 1.1793 0.5789 0.5649 -0.4671 -1.2947 1 385 110 165 433.478 340.361 389.18 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3067" 72400091 1 1 0 6 0 -0.4342 1.4326 -0.7823 -0.7951 -1.2379 -1.3835 -0.1822 0.3273 0.1597 0.2169 1 200 150 150 507.716 431.209 580.656 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3068" 72400091 1 1 0 6 0 -0.3009 0.6818 0.2907 1.8516 1.802 1.1793 1.0104 1.5954 -1.1481 0.5029 1 200 150 150 555.136 512.318 480.532 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3069" 72400091 1 1 0 6 0 1.8905 -0.5719 0.7703 0.565 0.3171 1.1793 0.112 0.7102 -0.7769 0.6364 1 220 165 0 546.015 571.459 542.891 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3070" 72400091 0 1 0 6 0 -0.7592 1.4685 0.8233 1.7775 1.0094 1.1793 1.1752 0.6958 0.7628 1.0346 1 165 165 165 497.139 430.277 414.947 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3071" 72400091 1 1 1 6 1 -0.9295 0.6818 0.2308 1.4925 1.0094 1.1793 1.2626 1.2216 -0.2023 0.5029 0 275 220 110 571.191 479.203 555.383 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3072" 72400091 1 1 0 6 1 1.8905 -0.1843 0.8233 2.1579 1.9726 -0.6122 1.9906 1.5838 0.1597 1.0346 2 225 270 180 600.512 481.47 499.134 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3073" 72400091 0 1 0 6 0 -1.2792 -0.4509 -0.7823 0.2483 -0.5685 -0.6853 1.1883 0.2902 -0.1697 -0.6576 0 180 135 270 577.995 526.665 577.364 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3074" 72400091 1 1 0 6 0 0.4637 -0.6523 -0.7823 -1.085 -1.7521 -1.3525 -0.456 -0.3562 -1.1965 0.5029 0 200 200 150 506.329 541.795 539.364 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3076" 72400091 1 1 0 4 0 0.4637 -0.9779 -0.7823 -1.1579 -0.7075 -2.049 -0.3624 -1.0365 -1.1481 0.2127 0 200 150 150 526.19 625.707 623.378 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3078" 72400091 1 1 0 6 0 -0.687 -1.866 -0.7823 -0.3673 -0.8795 1.1793 -0.0179 -0.4802 0.7015 1.0346 0 200 150 150 481.42 537.924 509.454 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3080" 72400091 1 1 0 4 0 0.4637 -0.0358 -0.7823 0.1215 -0.4252 -0.6122 0.2668 -0.3827 1.314 1.0346 0 200 200 150 453.11 362.419 349.997 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3081" 72400091 0 1 0 6 0 -0.2718 0.2143 1.7056 0.6739 0.5143 1.1793 0.7894 1.3191 -2.7106 1.0346 2 180 180 180 387.734 312.159 319.783 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3082" 72400091 1 1 1 6 1 1.1422 -0.9939 0.8233 1.2059 0.0347 -0.1357 1.9982 1.319 -0.5575 0.6402 1 225 135 135 387.786 379.856 400.086 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3085" 72400091 0 1 1 6 0 -0.1748 0.9423 0.2907 -0.0296 -0.9597 -0.1357 0.3935 0.6477 -0.0037 0.3622 0 200 150 300 355.362 404.284 444.171 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3086" 72400091 1 1 0 4 1 0.0208 -0.6378 1.203 0.1327 -0.4483 1.1793 0.3827 -0.2619 -1.1481 -1.58 0 250 150 100 365.129 384.388 418.661 28 1.2593 -1.4212 0.4487 -0.0384 -0.5111 0.9042
"3089" 72400092 0 1 0 6 0 1.4083 -0.7559 1.8279 1.1555 0.7064 1.1793 0.5497 0.9919 -0.7074 1.0346 0 200 300 150 542.186 511.655 617.452 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3091" 72400092 0 1 0 5 0 0.8207 -0.445 -0.7823 -0.2977 0.1986 1.1793 -0.7169 -0.5207 0.7015 -1.1847 1 200 150 150 523.524 534.856 507.615 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3093" 72400092 1 1 0 6 0 1.8905 -1.0499 1.1625 -0.0447 0.4541 -1.0752 -0.2386 0.158 -0.5778 -1.1847 1 240 180 360 487.69 536.675 466.416 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3096" 72400092 1 1 0 0 1 -0.13 -1.2379 0.7294 -0.7703 0.1802 -0.6947 -1.221 -2.7471 -0.2023 -1.3914 0 250 300 250 391.156 446.291 480.481 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3097" 72400092 0 1 0 6 0 0.1097 -1.6149 2.07 0.5529 1.802 0.031 -0.3125 1.2127 -0.7769 -1.0657 0 200 150 150 584.922 556.544 553.879 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3098" 72400092 1 1 2 6 0 -1.8939 0.9683 -0.7823 -0.1167 -0.431 1.1793 -0.3663 0.9376 -1.1481 1.0346 0 200 150 150 600.184 608.678 521.024 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3101" 72400092 0 1 0 5 0 1.3423 -0.0939 0.2907 0.3193 1.802 -1.0118 -0.4436 0.7064 -1.5447 0.6364 0 150 150 0 477.354 603.684 555.17 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3104" 72400092 0 1 0 2 0 -0.13 -0.3184 0.2907 -0.0327 -0.383 -0.6853 0.389 -1.0622 -0.7769 -0.6576 1 200 450 0 520.961 540.43 578.054 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3106" 72400092 0 1 0 2 1 0.6556 0.6818 -0.7823 -1.2066 0.1986 -1.6618 -1.0842 -1.5381 -0.6262 1.0346 0 275 440 330 381.334 509.888 465.166 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3107" 72400092 0 1 2 2 1 0.4637 2.7249 -0.7823 -0.5803 -0.8795 0.0477 -0.2854 -1.1255 -0.0014 -1.4902 0 240 360 120 492.75 569.49 549.552 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3110" 72400092 0 1 0 6 0 -0.3799 0.6818 -0.7823 0.944 1.802 1.1793 -0.0211 1.321 -0.2023 1.0346 0 180 135 0 566.259 566.885 560.873 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3114" 72400092 0 1 0 2 0 -0.13 -0.5582 0.8233 -0.3052 -0.1838 -0.1357 -0.5341 -1.1776 -0.7857 -0.6576 0 200 150 150 563.779 635.118 619.129 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3117" 72400092 0 1 2 6 0 -1.8939 2.7249 -0.7823 0.9351 1.0094 1.1793 0.1667 1.3172 -0.3673 -1.8624 0 200 200 150 610.605 573.324 605.281 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3119" 72400092 1 1 0 4 1 1.8905 1.4903 -0.7823 -0.2113 -0.7075 -0.6853 0.0505 -0.4095 1.314 -0.6576 0 475 285 285 448.429 410.63 414.683 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3121" 72400092 0 1 0 6 0 0.5949 -1.385 2.4122 1.3726 1.802 -0.1357 0.5745 1.4931 1.314 1.0346 1 200 200 150 422.93 488.468 565.614 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3122" 72400092 0 1 0 6 0 0.3335 -0.445 0.8615 0.843 0.7064 -0.1357 0.7591 0.6678 -1.1481 0.5029 0 200 150 150 511.186 600.014 608.64 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3124" 72400092 0 1 0 6 1 -0.2459 -0.6686 -0.7823 -0.2219 -0.7075 -0.6853 0.2433 0.8276 0.7015 -0.6576 0 200 200 100 437.36 373.767 428.028 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3128" 72400092 0 1 0 5 0 0.4637 -1.0672 0.7703 0.6261 -0.1783 -0.4903 0.9907 0.0217 -1.1481 -0.6576 0 180 135 135 579.833 604.5 645.721 28 9.4215 1.2478 1.5435 2.2443 1.7941 0.9042
"3131" 72400093 1 1 0 6 0 0.4637 0.2912 -0.7823 0.7888 1.0094 1.1793 0.0887 0.9975 -0.2023 1.0346 0 220 220 495 680.992 692.843 680.649 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3132" 72400093 0 1 0 6 0 0.855 0.5251 -0.7823 0.9626 0.2916 1.1793 0.441 0.7981 1.314 1.0346 0 220 220 165 517.774 576.118 562.975 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3134" 72400093 1 1 0 4 1 1.0671 1.4685 0.8233 -0.2087 -1.2379 -0.6122 0.124 -1.0543 0.7628 0.2127 0 330 440 330 471.978 417.806 483.669 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3135" 72400093 0 1 0 5 0 0.8207 2.7249 -0.7823 1.0473 1.802 1.1793 0.124 0.2223 1.314 1.0346 0 220 220 330 604.809 618.604 547.944 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3136" 72400093 0 1 0 6 0 1.4083 -0.4509 -0.7823 0.7941 1.802 1.1793 -0.2075 0.9819 1.314 1.0346 0 220 220 165 607.017 660.154 570.083 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3137" 72400093 1 1 0 6 0 -0.687 -1.475 1.4721 0.0833 0.7064 1.1793 -0.4074 0.6955 1.314 -1.1847 1 220 220 165 506.716 552.524 524.995 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3139" 72400093 1 1 0 6 1 -0.9295 0.2243 -0.7823 -0.6255 -0.8795 0.0477 -0.3391 -0.3835 0.4394 -0.6576 0 220 220 220 512.747 538.816 564.549 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3141" 72400093 0 2 3 4 0 -0.2006 0.1589 -0.7823 -0.7557 -1.7521 -0.6853 -0.079 -0.8663 1.314 -0.6576 1 300 300 0 414.194 407.442 385.594 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3142" 72400093 1 1 0 5 1 0.4637 -0.0633 -0.7823 -0.4084 -1.2379 0.0477 0.0887 -0.6628 1.314 1.0346 0 450 400 200 300.07 314.454 404.236 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3143" 72400093 1 1 0 4 0 0.052 0.1108 -0.7823 -0.5244 -0.7075 -0.6853 -0.0741 -1.1127 0.1597 1.0346 0 240 240 180 443.167 352.486 392.252 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3144" 72400093 1 1 0 6 1 0.8794 -0.9384 -0.7823 -0.8685 -1.7521 -0.6853 -0.278 0.2108 -1.0043 0.5029 0 220 220 110 484.816 473.318 517.438 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
"3146" 72400093 1 1 0 2 0 0.052 0.9423 -0.7823 -0.6396 -0.7075 1.1793 -0.6778 -1.5641 -0.2023 1.0346 0 220 220 165 627.098 608.584 620.822 23 8.0103 -0.4873 0.7429 0.8826 -0.1274 0.9042
